,targets,gpt3_generated_queries,targets result,gpt3 resilt,correct sintaxis,wrong query type,wrong query pattern,KG structure ignored,incomplete query,missed query,Angle brackets missed,incomplete triple,namespace mistake,hops target,hops generated,Errors sum
185,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q4176 wdt:P571 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q4176 http://www.wikidata.org/prop/direct/P571 ?result },1 January 1248,,FALSE,,,,,,1,,,,,1
186,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q15787 wdt:P575 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q15787 http://www.wikidata.org/prop/direct/P575 ?result },1 January 1983,,FALSE,,,,,,1,,,,,1
187,"SELECT DISTINCT ?v1 WHERE {
  ?v2 (wdt:P31/(wdt:P279*)) wd:Q191067;
    wdt:P921 wd:Q6557482;
    wdt:P577 ?v1.
}
ORDER BY (?v1)
LIMIT 1","SELECT ?uri WHERE {
  ?uri wdt:P921 wd:Q6557482;
    wdt:P577 ?date.
  FILTER(?date = ""2007-08-01T00:00:00Z"")
}",1 August 2007,-,1,,1,1,,,,,,,,2
188,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q4612 wdt:P569 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q4612 http://www.wikidata.org/prop/direct/P569 ?result . },27 December 1901,,FALSE,,,,,,1,,,,,1
189,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q43347 wdt:P569 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q43347 http://www.wikidata.org/prop/direct/P569 ?result . },30 September 1207,,FALSE,,,,,,1,,,,,1
190,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q37068 wdt:P580 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q37068 http://www.wikidata.org/prop/direct/P580 ?result },1 January 1800,,FALSE,,,,,,1,,,,,1
191,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q703237 wdt:P576 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q703237 http://www.wikidata.org/prop/direct/P576 ?result },25 April 2018,,FALSE,,,,,,1,,,,,1
192,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q800176 wdt:P571 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q800176 http://www.wikidata.org/prop/direct/P571 ?result },1 January 1985,,FALSE,,,,,,1,,,,,1
193,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q1545259 wdt:P571 ?v1. 
}",SELECT DISTINCT ?result WHERE { http://www.wikidata.org/entity/Q1545259 http://www.wikidata.org/prop/direct/P571 ?result },1 January 1955,,FALSE,,,,,,1,,,,,1
194,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q35794 wdt:P571 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q35794 http://www.wikidata.org/prop/direct/P571 ?result },1 January 1209,,FALSE,,,,,,1,,,,,1
195,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q237 wdt:P571 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q237 http://www.wikidata.org/prop/direct/P571 ?result },11 February 1929,,FALSE,,,,,,1,,,,,1
196,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q1771942 wdt:P571 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q1771942 <http://www.wikidata.org/prop/direct/P571> ?result },1 January 1899,,FALSE,,,,,,1,,,,,1
197,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q551416 wdt:P276 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q551416 http://www.wikidata.org/prop/direct/P276 ?result },wd:Q523286,,FALSE,,,,,,1,,,,,1
198,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q46577569 wdt:P495 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q46577569 http://www.wikidata.org/prop/direct/P495 ?result },wd:Q142,,FALSE,,,,,,1,,,,,1
199,"ASK WHERE {
  ?v1 wdt:P166 wd:Q103618;
    wdt:P69 ?v2.
  ?v3 wdt:P166 wd:Q103618;
    wdt:P69 ?v2.
  FILTER(?v1 != ?v3)
}",SELECT ?winner WHERE {    ?winner <http://www.wikidata.org/prop/direct/P166> <http://www.wikidata.org/entity/Q103618> ;            <http://www.wikidata.org/prop/direct/P69> ?institution .    ?winner <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.wikidata.org/entity/Q5> .    FILTER EX,true  ,,FALSE,,,,1,,,,,,,1
200,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q20 wdt:P610 ?v1. 
}",SELECT ?result WHERE {    <http://www.wikidata.org/entity/Q20> <http://www.wikidata.org/prop/direct/P610> ?result .    FILTER (?result = (SELECT (MAX(?result)) WHERE {      <http://www.wikidata.org/entity/Q20> <http://www.wikidata.org/prop/direct/P610> ?result .    })) },wd:Q203942,,FALSE,,1,,,,,,,,,1
201,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q5879 (wdt:P451/wdt:P19) ?v1. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Johann_Wolfgang_von_Goethe> ns1:partner ?p .  ?p ns1:birthPlace ?b .  SELECT DISTINCT ?b WHERE { <http://dbpedia.org/resource/Johann_Wolfgang_von_Goethe> <http://dbpedia.org/ontology/partner> ?p .  ?p <http://dbpedia.org/ontology/birth,wd:Q3042,,FALSE,,1,,1,,,,1,,,3
202,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q183883 (wdt:P50/wdt:P19) ?v1. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/J._D._Salinger> a ns1:Writer ;     ns1:birthPlace <http://dbpedia.org/resource/New_York_City> ;     ns1:notableWork <http://dbpedia.org/resource/The_Catcher_in_the_Rye> .  SELECT ?uri WHERE { ?uri <http://dbpedia.org/ontology/Writer> <http://dbpedia.org/resource/,wd:Q60,,FALSE,,1,,1,,,,1,,,3
203,"SELECT DISTINCT ?v1 WHERE {
  wd:Q38685497 wdt:P161 ?v1.
  wd:Q19347291 wdt:P161 ?v1.
}","SELECT ?result WHERE {
  { wd:Q38685497 wdt:P161 ?result. }
  UNION
  { wd:Q19347291 wdt:P161 ?result. }
}",wd:Q192682,"wd:Q192682
 wd:Q212064
 wd:Q929985
.....",1,,1,,,,,,,,,1
204,"SELECT DISTINCT ?v1 WHERE {
  BIND(IF(EXISTS {
    wd:Q33602 wdt:P4214 ?v2.
    wd:Q36101 wdt:P4214 ?v3.
    FILTER(?v2 > ?v3)
  }, wd:Q33602, wd:Q36101) AS ?v1)
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Panda> a ns1:Mammal ;     ns1:maximumLifespan ?pandaMaxLifespan .   <http://dbpedia.org/resource/Koala> a ns1:Mammal ;     ns1:maximumLifespan ?koalaMaxLifespan .  SELECT ?pandaMaxLifespan ?koalaMaxLifespan WHERE {    ?panda ns,wd:Q33602,,FALSE,,1,,1,,,,1,,,3
205,"SELECT DISTINCT ?v1 WHERE {
  {
    SELECT (COUNT(DISTINCT ?v2) AS ?v3) WHERE {
      wd:Q38095 (wdt:P527+) ?v2.
      ?v2 (wdt:P31/(wdt:P279*)) wd:Q23442.
    }
  }
  {
    SELECT (COUNT(DISTINCT ?v2) AS ?v4) WHERE {
      wd:Q192626 (wdt:P527+) ?v2.
      ?v2 (wdt:P31/(wdt:P279*)) wd:Q23442.
    }
  }
  BIND(IF(?v4 > ?v3, wd:Q192626, wd:Q38095) AS ?v1)
}","@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Galápagos_Islands> ns1:numberOfIslands ""18"" .  <http://dbpedia.org/resource/Hawaiian_Islands> ns1:numberOfIslands ""137"" .  SELECT ?uri WHERE {    { ?uri <http://dbpedia.org/ontology/numberOfIslands> ""18"" }    UNION    { ?uri <http://dbpedia",wd:Q38095,,FALSE,,1,,1,,,,1,,,3
206,"SELECT DISTINCT ?v1 WHERE {
  wd:Q117012 wdt:P135 ?v1.
  ?v1 wdt:P31 wd:Q968159.
}","SELECT ?movement WHERE {
  ?movement wdt:P135 wd:Q108908;
    wdt:P31 wd:Q968159.
}",wd:Q108908,-,1,,,1,,,,,,,,1
207,"SELECT DISTINCT ?v1 WHERE {
  wd:Q15862 wdt:P571 ?v2.
  wd:Q2306 wdt:P571 ?v3.
  BIND(IF(?v2 < ?v3, wd:Q15862, wd:Q2306) AS ?v1)
}","SELECT ?q ?p WHERE {
  wd:Q15862 wdt:P571 ?q.
  wd:Q2306 wdt:P571 ?p.
  FILTER(?q < ?p)
}",wd:Q2306,-,1,,1,,,,,,,,,1
208,"SELECT DISTINCT ?v1 WHERE {
  wd:Q478214 wdt:P169 ?v2.
  ?v1 wdt:P112 ?v2;
    (wdt:P31/(wdt:P279*)) wd:Q4830453.
}","SELECT ?v1 WHERE { 
  ?v1 wdt:P112 wd:Q317521. 
}","wd:Q483959
 wd:Q21708200
 wd:Q28874479
 wd:Q29043471
 wd:Q117705742
 wd:Q193701","wd:Q193701
 wd:Q483959
 wd:Q21708200
 wd:Q28222602
 wd:Q28874479
 wd:Q29043471
 wd:Q109332244
 wd:Q117705742",1,,1,1,,,,,,,,2
209,"ASK {
  wd:Q183 p:P1082 ?v1, ?v2.
  ?v1 pq:P585 ?v3;
    ps:P1082 ?v4.
  ?v2 pq:P585 ?v5;
    ps:P1082 ?v6.
  BIND((?v6 - ?v4) / ?v4 AS ?v7)
  FILTER((((YEAR(?v3)) = 2010 ) && (NOT EXISTS {
    wd:Q183 (p:P1082/pq:P585) ?v8.
    FILTER(?v8 > ?v5)
  })) && (?v7 >= ""0.01""^^xsd:decimal))
}","SELECT ?growth WHERE {    ?growth <http://www.wikidata.org/prop/qualifier/P585> ""2010-01-01T00:00:00Z""^^xsd:dateTime ;           <http://www.wikidata.org/prop/statement/P1082> ?population1 .   ?growth <http://www.wikidata.org/prop/qualifier/P585> ""2019-09-30T00:00:00Z""^^xsd:dateTime ;           <http://www.",true  ,,FALSE,1,1,,1,,,,,,,3
210,"SELECT ?v1 WHERE {
  ?v1 (wdt:P31/(wdt:P279*)) wd:Q11436;
    wdt:P178 wd:Q189081.
}","SELECT ?aircraft WHERE {
  ?aircraft wdt:P178 wd:Q667443.
  wd:Q189081 wdt:P178 ?aircraft.
}","wd:Q667443
 wd:Q667443",-,1,,1,1,,,,,,,,2
211,"SELECT DISTINCT ?v1 WHERE {
  { SELECT (COUNT(DISTINCT ?v2) AS ?v3) WHERE { wd:Q258 wdt:P37 ?v2. } }
  { SELECT (COUNT(DISTINCT ?v4) AS ?v5) WHERE { wd:Q115 wdt:P37 ?v4. } }
  BIND(IF(?v3 > ?v5, wd:Q258, wd:Q115) AS ?v1)
}",SELECT (COUNT(?lanS) AS ?countS) (COUNT(?lanE) AS ?countE) WHERE {    http://www.wikidata.org/entity/Q258 http://www.wikidata.org/prop/direct/P37 ?lanS .    http://www.wikidata.org/entity/Q115 http://www.wikidata.org/prop/direct/P37 ?lanE .  },wd:Q258,,FALSE,,1,,,,1,,,,,2
212,"ASK WHERE { 
  wd:Q1067089 (wdt:P31/(wdt:P279*)) wd:Q82821. 
}","@prefix ns1: <http://dbpedia.org/ontology/> .  @prefix ns2: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/Throat_singing> a ns1:MusicalGenre ;      ns2:tradition ""Yes"" .   SELECT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalGen",false ,,FALSE,1,1,,1,,,,1,,,4
213,"SELECT DISTINCT ?v1 WHERE {
  wd:Q7245 wdt:P509 ?v1.
  ?v1 (wdt:P279*) wd:Q12136.
}","SELECT ?disease WHERE {
  wd:Q7245 wdt:P509 ?cause.
  ?cause wdt:P279 ?disease.
}",wd:Q12152,"wd:Q188151
 wd:Q207550",1,,1,,,,,,,,,1
214,"SELECT DISTINCT ?v1 WHERE {
  wd:Q662860 wdt:P1542 ?v1.
  ?v1 (wdt:P279*) wd:Q12136.
}","SELECT ?disease WHERE {
  ?disease wdt:P279 wd:Q12136;
    wdt:P1542 wd:Q662860.
}","wd:Q12204
 wd:Q188605",-,1,,1,,,,,,,,,1
215,"SELECT DISTINCT ?v1 WHERE {
  wd:Q68061 wdt:P136 ?v1.
  ?v1 rdfs:label ?v2.
  FILTER(LANGMATCHES(LANG(?v2), ""en""))
}
ORDER BY (STRLEN(?v2))
LIMIT 1","SELECT ?genre WHERE { ?genre <http://www.wikidata.org/prop/direct/P136> <http://www.wikidata.org/entity/Q68061> ; <http://www.w3.org/2000/01/rdf-schema#label> ?label . FILTER (lang(?label) = ""en"") } ORDER BY LENGTH(?label) ASC LIMIT 1",wd:Q9759,,FALSE,,1,,,,,,,,,1
216,"SELECT DISTINCT ?v1 WHERE {
  wd:Q708 wdt:P2054 ?v2.
  wd:Q677 wdt:P2054 ?v3.
  BIND(IF(?v2 >= ?v3, wd:Q708, wd:Q677) AS ?v1)
}","SELECT ?dl, ?di WHERE { <http://www.wikidata.org/entity/Q708> <http://www.wikidata.org/prop/direct/P2054> ?dl . <http://www.wikidata.org/entity/Q677> <http://www.wikidata.org/prop/direct/P2054> ?di . } ORDER BY ASC(?dl) LIMIT 1",wd:Q708,,FALSE,,1,,,,,,,,,1
217,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q2945433 wdt:P607 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q2945433 http://www.wikidata.org/prop/direct/P607 ?result },wd:Q362,,FALSE,,,,,,1,,,,,1
218,"SELECT DISTINCT ?v1 WHERE {
  {
    SELECT DISTINCT (COUNT(DISTINCT ?v2) AS ?v3) WHERE {
      ?v2 wdt:P31 wd:Q27020041;
        wdt:P3450 wd:Q155223;
        wdt:P1346 ?v1.
      ?v1 wdt:P31 wd:Q13393265.
    }
    GROUP BY ?v1
    ORDER BY DESC (?v3)
    LIMIT 1
  }
  ?v2 wdt:P31 wd:Q27020041;
    wdt:P3450 wd:Q155223;
    wdt:P1346 ?v1.
  ?v1 wdt:P31 wd:Q13393265.
}
GROUP BY ?v1
HAVING ((COUNT(DISTINCT ?v2)) = (MAX(?v3)))",SELECT ?team (COUNT(?season) AS ?seasonsWon) WHERE {    ?team <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q27020041> ;          <http://www.wikidata.org/prop/direct/P1346> ?season .    ?season <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q155223>,"wd:Q121783
 wd:Q131371",,FALSE,,1,,1,,,,,,,2
219,"SELECT DISTINCT ?v1 WHERE {
  wd:Q69303989 wdt:P57 ?v2.
  ?v1 wdt:P31 wd:Q11424;
    wdt:P57 ?v2;
    wdt:P161 wd:Q294647.
  FILTER(?v1 != wd:Q69303989)
}",SELECT ?v1 WHERE { ?v1 <http://www.wikidata.org/prop/direct/P57> <http://www.wikidata.org/entity/Q314287> . ?v1 <http://www.wikidata.org/prop/direct/P57> ?v2 . ?v2 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q11424> . ?v2 <http://www.wikidata.org/prop/direct,wd:Q32303,,FALSE,,,,1,,,,,,,1
220,"SELECT DISTINCT ?v1 WHERE {
  ?v1 (wdt:P31/(wdt:P279*)) wd:Q12516;
    (p:P2048/psn:P2048/wikibase:quantityAmount) ?v2;
    wdt:P17 wd:Q79.
}
ORDER BY DESC (?v2)
LIMIT 1","SELECT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P17> <http://www.wikidata.org/entity/Q79> ; <http://www.wikidata.org/prop/direct/P17> <http://www.wikidata.org/entity/Q79> . FILTER (?uri IN (http://www.wikidata.org/entity/Q1232134, http://www.wikidata.org/entity/Q1752090, http://www.wikidata.",wd:Q37200,,FALSE,,1,,1,,1,,,,,3
221,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q1867 wdt:P37 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q1867 http://www.wikidata.org/prop/direct/P37 ?result },wd:Q7850,,FALSE,,,,,,1,,,,,1
222,"SELECT DISTINCT ?v1 WHERE {
  wd:Q13979 wdt:P580 ?v2.
  ?v1 wdt:P31 wd:Q5398426;
    wdt:P580 ?v3.
  FILTER(((YEAR(?v2)) = (YEAR(?v3))) && (?v1 != wd:Q13979))
}","SELECT ?uri WHERE {
  ?uri wdt:P31 wd:Q5398426;
    wdt:P580 ?date.
  FILTER((?date >= ""1975-01-01T00:00:00Z""^^xsd:dateTime) && (?date <= ""1975-12-31T00:00:00Z""^^xsd:dateTime))
}","wd:Q212731
 wd:Q196226
 wd:Q128251
......","wd:Q196226
 wd:Q212731
 wd:Q13979
.....",1,,1,,,,,,,,,1
223,"SELECT DISTINCT ?v1 WHERE {
  ?v1 wdt:P361 wd:Q828282;
    wdt:P31 ?v2.
  FILTER(?v2 IN(wd:Q105543609, wd:Q134556))
}","SELECT ?uri WHERE {
  ?uri wdt:P361 wd:Q828282;
    wdt:P31 wd:Q134556.
}","wd:Q576798
 wd:Q1784211
 wd:Q2265331
 wd:Q2713486
 wd:Q3040253
 wd:Q3045530
 wd:Q9051589
 wd:Q62063330","wd:Q576798
 wd:Q1784211
 wd:Q2265331
 wd:Q2713486
 wd:Q3040253",1,,1,,,,,,,,,1
224,"SELECT DISTINCT ?v1 WHERE {
  wd:Q40415 wdt:P571 ?v2.
  wd:Q80113 wdt:P580 ?v3.
  BIND(IF(?v2 < ?v3, wd:Q40415, wd:Q80113) AS ?v1)
}","SELECT ?imp ?exp WHERE {
  wd:Q40415 wdt:P571 ?imp.
  wd:Q80113 wdt:P580 ?exp.
}",wd:Q40415,1 January 1860,1,,1,,,,,,,,,1
225,"SELECT DISTINCT ?v1 WHERE {
  wd:Q2695156 (wdt:P551/wdt:P131) ?v1.
  ?v1 wdt:P31 wd:Q35657.
}","SELECT ?v1 WHERE {
  ?v1 wdt:P31 wd:Q1408;
    wdt:P17 wd:Q35657.
}",wd:Q1408,-,1,,1,1,,,,,,,,2
226,"SELECT DISTINCT ?v1 WHERE {
  ?v1 wdt:P106 wd:Q11397897;
    (wdt:P26/wdt:P31) wd:Q2035494;
    wdt:P172 wd:Q2292830.
}",http://www.wikidata.org/entity/Q180322 http://www.wikidata.org/prop/direct/P453 http://www.wikidata.org/entity/Q104737 .  SELECT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P106> <http://www.wikidata.org/entity/Q11397897> ; <http://www.wikidata.org/prop/direct/P172> <http://www.wikidata.org/entity/Q,wd:Q180322,,FALSE,,,,1,,1,,1,,,3
227,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q46569648 wdt:P1923 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q46569648 http://www.wikidata.org/prop/direct/P1923 ?result },"wd:Q483020
 wd:Q15789",,FALSE,,,,,,1,,,,,1
228,"SELECT DISTINCT ?v1 WHERE {
  wd:Q34433 wdt:P571 ?v2.
  wd:Q35794 wdt:P571 ?v3.
  BIND(IF(?v2 < ?v3, wd:Q34433, wd:Q35794) AS ?v1)
}","SELECT ?inco ?incc WHERE {
  wd:Q34433 wdt:P571 ?inco.
  wd:Q35794 wdt:P571 ?incc.
}",wd:Q34433,"inco
incc
1 January 1096",1,,1,,,,,,,,,1
229,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q533822 wdt:P178 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q533822 http://www.wikidata.org/prop/direct/P178 ?result },wd:Q4558744,,FALSE,,,,,,1,,,,,1
230,"SELECT DISTINCT ?v1 WHERE {
  wd:Q63246568 wdt:P161 ?v1.
  ?v1 wdt:P21 wd:Q6581072.
}","SELECT ?uri WHERE {
  ?uri wdt:P161 wd:Q63246568;
    wdt:P21 wd:Q6581072.
}","wd:Q230710
 wd:Q3345735
 wd:Q65043586
 wd:Q65468168
 wd:Q31353",-,1,,,1,,,,,,,,1
231,"ASK WHERE {
  wd:Q25369 wdt:P54 ?v1.
  wd:Q41421 wdt:P54 ?v1.
}","SELECT ?team WHERE {
  { wd:Q41421 wdt:P54 ?team. }
  UNION
  { wd:Q25369 wdt:P54 ?team. }
}",false ,"wd:Q121783
 wd:Q128109
 wd:Q169165
 wd:Q2747877
 wd:Q3476102
 wd:Q4412061",1,,1,,,,,,,,,1
232,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q163310 wdt:P61 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q163310 http://www.wikidata.org/prop/direct/P61 ?result },wd:Q7251,,FALSE,,,,,,1,,,,,1
233,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q523286 wdt:P571 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q523286 <http://www.wikidata.org/prop/direct/P571> ?result },1 January 1100,,FALSE,,,,,,1,,,,,1
234,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q28091065 wdt:P57 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q28091065 http://www.wikidata.org/prop/direct/P57 ?result },wd:Q449163,,FALSE,,,,,,1,,,,,1
235,"SELECT DISTINCT ?v1 WHERE {
  { wd:Q44649835 wdt:P50 ?v1. }
  UNION
  { wd:Q44649835 wdt:P2093 ?v1. }
}","SELECT ?result WHERE {
  ?result wdt:P2093 ""Prototypical Networks for Few-shot Learning"";
    wdt:P50 ?author.
}",wd:Q26702597,-,1,,1,,,,,,,,,1
236,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q479361 wdt:P112 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q479361 http://www.wikidata.org/prop/direct/P112 ?result },"wd:Q71425
 wd:Q448400
 wd:Q561091",,FALSE,,,,,,1,,,,,1
237,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q27863945 wdt:P50 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q27863945 http://www.wikidata.org/prop/direct/P50 ?result },wd:Q11523472,,FALSE,,,,,,1,,,,,1
238,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q154797 wdt:P488 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q154797 http://www.wikidata.org/prop/direct/P488 ?result . },wd:Q1019016,,FALSE,,,,,,1,,,,,1
239,"SELECT DISTINCT ?v1 WHERE {
  wd:Q48817408 wdt:P161 ?v1.
  ?v1 wdt:P569 ?v2.
}
ORDER BY (?v2)
LIMIT 1",SELECT ?person WHERE {    ?person <http://www.wikidata.org/prop/direct/P161> <http://www.wikidata.org/entity/Q48817408> .    ?person <http://www.wikidata.org/prop/direct/P569> ?date .    FILTER (?date = (SELECT MIN(?date) WHERE { ?person <http://www.wikidata.org/prop/direct/P161> <http://www.wikidata.org/entity/Q,wd:Q44870529,,FALSE,,1,,1,,,,,,,2
240,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q2357719 wdt:P123 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q2357719 http://www.wikidata.org/prop/direct/P123 ?result },wd:Q5750244,,FALSE,,,,,,1,,,,,1
241,"SELECT DISTINCT ?v1 WHERE { 
  ?v1 wdt:P800 wd:Q315296. 
}","SELECT ?uri WHERE { 
  ?uri wdt:P800 wd:Q76641, wd:Q315296. 
}",wd:Q76641,-,1,,,1,,,,,,,,1
242,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q181803 wdt:P162 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q181803 http://www.wikidata.org/prop/direct/P162 ?result },"wd:Q683785
 wd:Q1631816",,FALSE,,,,,,1,,,,,1
243,"SELECT DISTINCT ?v1 WHERE {
  {
    SELECT (COUNT(DISTINCT ?v2) AS ?v3) WHERE {
      ?v2 wdt:P161 wd:Q166389;
        wdt:P31 wd:Q11424.
    }
  }
  {
    SELECT (COUNT(DISTINCT ?v2) AS ?v4) WHERE {
      ?v2 wdt:P161 wd:Q343616;
        wdt:P31 wd:Q11424.
    }
  }
  BIND(IF(?v3 > ?v4, wd:Q166389, wd:Q343616) AS ?v1)
}","@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Daniel_Day-Lewis> a ns1:Actor ;     ns1:starring <http://dbpedia.org/resource/Gangs_of_New_York> ,     <http://dbpedia.org/resource/There_Will_Be_Blood> .  <http://dbpedia.org/resource/Paul_Dano> a ns1:Actor ;     ns1:starring <http://dbpedia.org/resource/Little",wd:Q343616,,FALSE,,1,,,1,,,1,,,3
244,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q30588383 wdt:P856 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q30588383 <http://www.wikidata.org/prop/direct/P856> ?result },<https://www.npr.org/series/tiny-desk-concerts/>,,FALSE,,,,,,1,,,,,1
245,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q2394280 wdt:P170 ?v1. 
}",SELECT DISTINCT ?result WHERE { http://www.wikidata.org/entity/Q2394280 <http://www.wikidata.org/prop/direct/P170> ?result },wd:Q263324,,FALSE,,,,,,1,,,,,1
246,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q2518973 wdt:P175 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q2518973 http://www.wikidata.org/prop/direct/P175 ?result },wd:Q705531,,FALSE,,,,,,1,,,,,1
247,"SELECT DISTINCT ?v1 WHERE {
  { wd:Q913 wdt:P25 ?v1. }
  UNION
  { wd:Q913 wdt:P22 ?v1. }
}","SELECT DISTINCT ?result WHERE {
  wd:Q913 wdt:P22 ?result;
    wdt:P25 ?result.
}","wd:Q2303035
 wd:Q2263186",-,1,,1,,,,,,,,,1
248,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q1545259 wdt:P50 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q1545259 http://www.wikidata.org/prop/direct/P50 ?result },wd:Q6711,,FALSE,,,,,,1,,,,,1
249,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q462333 wdt:P26 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q462333 http://www.wikidata.org/prop/direct/P26 ?result . },wd:Q76483,,FALSE,,,,,,1,,,,,1
250,"SELECT DISTINCT ?v1 WHERE {
  ?v1 wdt:P31 wd:Q220505;
    wdt:P571 ?v2.
  FILTER(ISLITERAL(?v2))
}
ORDER BY (?v2)
LIMIT 1",SELECT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q220505> . ?uri <http://www.wikidata.org/prop/direct/P571> ?date . FILTER (?date = (SELECT MIN(?date) WHERE { ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q220505> . ?uri <http://www.,wd:Q205751,,FALSE,,,,1,,,,,,,1
251,"SELECT DISTINCT ?v1 WHERE {
  wd:Q1471 wdt:P2043 ?v2.
  wd:Q1644 wdt:P2043 ?v3.
  BIND(IF(?v2 > ?v3, wd:Q1471, wd:Q1644) AS ?v1)
}","SELECT ?le ?ls WHERE {
  wd:Q1644 wdt:P2043 ?le.
  wd:Q1471 wdt:P2043 ?ls.
}",wd:Q1644,"le                   ls
1094.26        776.67",1,,1,,,,,,,,,1
